Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC.secs,UTC.nsecs,Zone,Letter,fix_quality
1676147592.6761298,99,73992,600000000,GPS1_Frame,42.33703822166667,-71.09138808666667,20.884,2.8,327709.5823687716,4689316.540593355,73992,600000000,19,T,5
1676147593.6825285,100,73993,600000000,GPS1_Frame,42.337038215,-71.09138829333334,20.691,2.8,327709.5653244638,4689316.54027182,73993,600000000,19,T,5
1676147594.6781392,101,73994,600000000,GPS1_Frame,42.33703808666667,-71.09138842,20.488,2.8,327709.55453863356,4689316.526278031,73994,600000000,19,T,5
1676147595.6803124,102,73995,600000000,GPS1_Frame,42.33703794833333,-71.09138863666666,20.266,2.8,327709.5363108992,4689316.511356177,73995,600000000,19,T,5
1676147596.681079,103,73996,600000000,GPS1_Frame,42.33703778833333,-71.091388885,20.09,2.8,327709.51541515434,4689316.494092567,73996,600000000,19,T,5
1676147597.6768637,104,73997,600000000,GPS1_Frame,42.337038115,-71.0913889,19.958,2.8,327709.51507152535,4689316.530396809,73997,600000000,19,T,5
1676147598.6804752,105,73998,600000000,GPS1_Frame,42.33703808333333,-71.09138904166667,19.775,2.8,327709.50331392477,4689316.52716751,73998,600000000,19,T,5
1676147599.6798387,106,73999,600000000,GPS1_Frame,42.33703807,-71.09138918833334,19.616,2.8,327709.49119447265,4689316.525984122,73999,600000000,19,T,5
1676147600.6706426,107,74000,600000000,GPS1_Frame,42.33703788166667,-71.091389335,19.425,2.8,327709.4785970921,4689316.505368315,74000,600000000,19,T,5
1676147601.6703458,108,74001,600000000,GPS1_Frame,42.33703627166667,-71.09138986833334,19.078,4.9,327709.4302618103,4689316.327670705,74001,600000000,19,T,5
1676147602.6773815,109,74002,600000000,GPS1_Frame,42.33703764166667,-71.091389915,19.181,1.6,327709.43015872216,4689316.479893338,74002,600000000,19,T,5
1676147603.6768558,110,74003,600000000,GPS1_Frame,42.337037755,-71.09138997833334,19.016,1.6,327709.42525056284,4689316.492606468,74003,600000000,19,T,5
1676147604.6766012,111,74004,600000000,GPS1_Frame,42.33703774,-71.09139011166667,18.834,1.6,327709.4142250177,4689316.491210992,74004,600000000,19,T,5
1676147605.6762202,112,74005,600000000,GPS1_Frame,42.33703819833333,-71.09138991666667,18.487,1.6,327709.43154168763,4689316.541710313,74005,600000000,19,T,4
1676147606.676115,113,74006,600000000,GPS1_Frame,42.337038181666664,-71.09138991833333,18.482,1.6,327709.4313588636,4689316.539862982,74006,600000000,19,T,4
1676147607.6794524,114,74007,600000000,GPS1_Frame,42.337038193333335,-71.09138985666667,18.459,1.6,327709.43647109496,4689316.541033528,74007,600000000,19,T,4
1676147608.6812406,115,74008,600000000,GPS1_Frame,42.337038328333335,-71.09138977,18.475,2.8,327709.4439797601,4689316.555848648,74008,600000000,19,T,4
1676147609.683423,116,74009,600000000,GPS1_Frame,42.337038275,-71.09138980833333,18.482,1.6,327709.4406760397,4689316.550004058,74009,600000000,19,T,4
1676147610.6812832,117,74010,600000000,GPS1_Frame,42.337038551666666,-71.09139022666666,18.284,1.6,327709.4069675073,4689316.581573414,74010,600000000,19,T,5
1676147611.6852007,118,74011,600000000,GPS1_Frame,42.33703886666667,-71.09139021,18.233,1.6,327709.4092008549,4689316.616517997,74011,600000000,19,T,5
1676147612.6819806,119,74012,600000000,GPS1_Frame,42.33703892333333,-71.09139036166667,18.182,1.6,327709.3968606526,4689316.623117706,74012,600000000,19,T,5
1676147613.6764348,120,74013,600000000,GPS1_Frame,42.33703918166667,-71.09139035166666,18.052,1.7,327709.3983900124,4689316.651783397,74013,600000000,19,T,5
1676147614.6801708,121,74014,600000000,GPS1_Frame,42.337038406666665,-71.09139101666666,17.814,1.6,327709.34148787125,4689316.567072967,74014,600000000,19,T,4
1676147615.6861055,122,74015,600000000,GPS1_Frame,42.33703847333334,-71.091391035,17.819,1.6,327709.3401595609,4689316.574512941,74015,600000000,19,T,4
1676147616.6812086,123,74016,600000000,GPS1_Frame,42.337038416666665,-71.09139101,17.827,1.6,327709.342064411,4689316.5681698825,74016,600000000,19,T,4
1676147617.6793315,124,74017,600000000,GPS1_Frame,42.337038495,-71.09139122333333,17.558,1.6,327709.3247030138,4689316.577300461,74017,600000000,19,T,5
1676147618.6798396,125,74018,600000000,GPS1_Frame,42.33703839333333,-71.09139133333333,17.386,1.6,327709.31536308094,4689316.566234034,74018,600000000,19,T,5
1676147619.6829104,126,74019,600000000,GPS1_Frame,42.33703833333333,-71.09139143833333,17.251,1.6,327709.3065488617,4689316.559784242,74019,600000000,19,T,5
1676147620.6810217,127,74020,600000000,GPS1_Frame,42.33703823333333,-71.091391535,17.084,1.6,327709.29831193725,4689316.548875866,74020,600000000,19,T,5
1676147621.683704,128,74021,600000000,GPS1_Frame,42.33703823166667,-71.09139157166666,16.967,1.6,327709.295286627,4689316.54876509,74021,600000000,19,T,5
1676147622.6800013,129,74022,600000000,GPS1_Frame,42.33703826333333,-71.091391665,16.824,1.6,327709.2876839045,4689316.552470545,74022,600000000,19,T,5
1676147623.6777477,130,74023,600000000,GPS1_Frame,42.337038283333335,-71.091391735,16.725,1.6,327709.2819716197,4689316.554833228,74023,600000000,19,T,5
1676147624.6880524,131,74024,600000000,GPS1_Frame,42.337038183333334,-71.09139183666667,16.595,1.6,327709.2733227726,4689316.543934985,74024,600000000,19,T,5
1676147625.6799512,132,74025,600000000,GPS1_Frame,42.33703812666667,-71.09139191,16.49,1.6,327709.2671264969,4689316.537791172,74025,600000000,19,T,5
1676147626.6798282,133,74026,600000000,GPS1_Frame,42.337038156666665,-71.091391935,16.355,1.6,327709.2651488171,4689316.541173099,74026,600000000,19,T,5
1676147627.6830318,134,74027,600000000,GPS1_Frame,42.337037896666665,-71.091392085,16.172,1.6,327709.25208109815,4689316.512606006,74027,600000000,19,T,5
1676147628.6797752,135,74028,600000000,GPS1_Frame,42.33703762166667,-71.09139225,16.011,1.6,327709.23773664574,4689316.482403672,74028,600000000,19,T,5
1676147629.6834438,136,74029,600000000,GPS1_Frame,42.33703726666667,-71.09139244833334,15.832,1.6,327709.22042756353,4689316.443385488,74029,600000000,19,T,5
1676147630.6784482,137,74030,600000000,GPS1_Frame,42.337036893333334,-71.09139261,15.607,1.6,327709.20608917694,4689316.402257231,74030,600000000,19,T,5
1676147631.679252,138,74031,600000000,GPS1_Frame,42.33703637833333,-71.09139295333334,15.469,1.6,327709.1763973988,4689316.345766063,74031,600000000,19,T,5
1676147632.6757133,139,74032,600000000,GPS1_Frame,42.337036025,-71.09139326,15.306,1.6,327709.1501678964,4689316.307152453,74032,600000000,19,T,5
1676147633.6768737,140,74033,600000000,GPS1_Frame,42.337035791666665,-71.09139348166667,15.121,1.7,327709.1312687916,4689316.281691704,74033,600000000,19,T,5
1676147634.6775484,141,74034,600000000,GPS1_Frame,42.33703530166667,-71.09139376833333,14.91,1.7,327709.1063137374,4689316.227861777,74034,600000000,19,T,5
1676147635.675639,142,74035,600000000,GPS1_Frame,42.33703483666667,-71.09139401666667,14.689,1.7,327709.0845850222,4689316.176730238,74035,600000000,19,T,5
1676147636.6728702,143,74036,600000000,GPS1_Frame,42.33703431833333,-71.091394315,14.475,1.7,327709.0585914359,4689316.11977775,74036,600000000,19,T,5
1676147637.6750166,144,74037,600000000,GPS1_Frame,42.33703387,-71.09139458166666,14.25,1.7,327709.0353978601,4689316.070534066,74037,600000000,19,T,5
1676147638.6792753,145,74038,600000000,GPS1_Frame,42.33703342333333,-71.09139484833334,14.041,1.7,327709.0122088336,4689316.021475452,74038,600000000,19,T,5
1676147639.6707277,146,74039,600000000,GPS1_Frame,42.337032926666666,-71.09139518166667,13.812,1.7,327708.9833909668,4689315.9669998,74039,600000000,19,T,5
1676147640.666838,147,74040,600000000,GPS1_Frame,42.337032486666665,-71.09139542833333,13.592,1.7,327708.961867837,4689315.918640943,74040,600000000,19,T,5
1676147641.6665626,148,74041,600000000,GPS1_Frame,42.337031965,-71.091395695,13.374,1.7,327708.9384739816,4689315.861254152,74041,600000000,19,T,5
1676147642.6633632,149,74042,600000000,GPS1_Frame,42.337031511666666,-71.09139593166667,13.178,1.7,327708.9177382806,4689315.81139447,74042,600000000,19,T,5
1676147643.6679587,150,74043,600000000,GPS1_Frame,42.33703113666667,-71.09139618833333,12.986,1.7,327708.8955688223,4689315.770273633,74043,600000000,19,T,5
1676147644.6672552,151,74044,600000000,GPS1_Frame,42.33703077333333,-71.09139609,12.694,1.6,327708.9026776713,4689315.7297289865,74044,600000000,19,T,5
1676147645.6724448,152,74045,600000000,GPS1_Frame,42.33703033333333,-71.091396185,12.458,1.7,327708.89364950283,4689315.681062823,74045,600000000,19,T,5
1676147646.6731906,153,74046,600000000,GPS1_Frame,42.33702998333333,-71.09139596,12.174,1.6,327708.9112301173,4689315.64174209,74046,600000000,19,T,5
