Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC.secs,UTC.nsecs,Zone,Letter,fix_quality
1676145651.6898806,225,72051,600000000,GPS1_Frame,42.33711998166667,-71.09046339,6.988,1.0,327785.9860895999,4689323.746213234,72051,600000000,19,T,5
1676145652.691269,226,72052,600000000,GPS1_Frame,42.337120283333334,-71.090463675,6.991,1.0,327785.9634335905,4689323.780288231,72052,600000000,19,T,5
1676145653.7014997,227,72053,600000000,GPS1_Frame,42.337120485,-71.09046405,6.964,1.0,327785.93309001724,4689323.803441268,72053,600000000,19,T,5
1676145654.6988213,228,72054,600000000,GPS1_Frame,42.33712074333334,-71.09046444833334,6.976,1.0,327785.9009788331,4689323.832933966,72054,600000000,19,T,5
1676145655.6921406,229,72055,600000000,GPS1_Frame,42.33712104666667,-71.09046468,6.927,1.0,327785.8827211991,4689323.867086019,72055,600000000,19,T,5
1676145656.6935256,230,72056,600000000,GPS1_Frame,42.33712125833333,-71.09046509833334,6.878,1.0,327785.84883494175,4689323.891437244,72056,600000000,19,T,5
1676145657.6900582,231,72057,600000000,GPS1_Frame,42.33712134,-71.09046553166667,6.824,1.0,327785.813358043,4689323.901383337,72057,600000000,19,T,5
1676145658.6910489,232,72058,600000000,GPS1_Frame,42.337121411666665,-71.09046601333333,6.777,1.0,327785.773871941,4689323.910316897,72058,600000000,19,T,5
1676145659.6933365,233,72059,600000000,GPS1_Frame,42.337121481666664,-71.090466385,6.759,1.0,327785.74344355264,4689323.9188426025,72059,600000000,19,T,5
1676145660.694008,234,72060,600000000,GPS1_Frame,42.33712156166666,-71.09046679166667,6.685,1.0,327785.71015901695,4689323.928549618,72060,600000000,19,T,5
1676145661.6961052,235,72061,600000000,GPS1_Frame,42.33712162166667,-71.09046713166667,6.573,1.0,327785.682312167,4689323.9359007655,72061,600000000,19,T,5
1676145662.6942666,236,72062,600000000,GPS1_Frame,42.33712155333333,-71.09046745833334,6.481,1.0,327785.65521344397,4689323.92897447,72062,600000000,19,T,5
1676145663.6928937,237,72063,600000000,GPS1_Frame,42.337121503333336,-71.09046773166666,6.387,1.0,327785.632558597,4689323.923975935,72063,600000000,19,T,5
1676145664.6905353,238,72064,600000000,GPS1_Frame,42.33712123666667,-71.09046818,6.392,1.0,327785.59489504347,4689323.895272644,72064,600000000,19,T,5
1676145665.6959286,239,72065,600000000,GPS1_Frame,42.33712101166667,-71.09046852666667,6.394,1.0,327785.5657209627,4689323.870990215,72065,600000000,19,T,5
