Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC.secs,UTC.nsecs,Zone,Letter,fix_quality
1676146914.6891134,32,73314,600000000,GPS1_Frame,42.33710717,-71.09047108333333,6.474,0.9,327785.31730646954,4689322.339156544,73314,600000000,19,T,5
1676146915.6881835,33,73315,600000000,GPS1_Frame,42.337107216666666,-71.09047118166667,6.508,0.9,327785.3093327412,4689322.344537677,73315,600000000,19,T,5
1676146916.6879,34,73316,600000000,GPS1_Frame,42.33710705833333,-71.09047103,6.561,0.9,327785.321395464,4689322.326648793,73316,600000000,19,T,5
1676146917.6881025,35,73317,600000000,GPS1_Frame,42.33710480333333,-71.09047102666666,7.047,2.6,327785.3155143031,4689322.076241458,73317,600000000,19,T,4
1676146918.7108815,36,73318,600000000,GPS1_Frame,42.33710143166667,-71.09047067,6.852,0.0,327785.3356939299,4689321.701121183,73318,600000000,19,T,1
1676146919.6892543,37,73319,600000000,GPS1_Frame,42.337093483333334,-71.09047004166666,6.894,1.1,327785.36576109077,4689320.817246704,73319,600000000,19,T,5
1676146920.6921542,38,73320,600000000,GPS1_Frame,42.337085001666665,-71.09047069333333,6.895,1.0,327785.2889204731,4689319.876742018,73320,600000000,19,T,5
1676146921.6859367,39,73321,600000000,GPS1_Frame,42.33707451666667,-71.09046909166666,6.948,2.1,327785.3922503623,4689318.70921872,73321,600000000,19,T,5
1676146922.6883633,40,73322,600000000,GPS1_Frame,42.337062165,-71.09046638333334,7.075,1.0,327785.5816565928,4689317.332174967,73322,600000000,19,T,5
1676146923.6911075,41,73323,600000000,GPS1_Frame,42.33704989833333,-71.09046559166667,7.125,1.1,327785.6133916599,4689315.968451658,73323,600000000,19,T,5
1676146924.6897948,42,73324,600000000,GPS1_Frame,42.33703741666667,-71.09046523,7.052,1.0,327785.60911458003,4689314.5817251215,73324,600000000,19,T,5
1676146925.6881049,43,73325,600000000,GPS1_Frame,42.33702534333333,-71.09046554333334,7.033,0.8,327785.5503427529,4689313.241707975,73325,600000000,19,T,5
1676146926.6896498,44,73326,600000000,GPS1_Frame,42.337014716666665,-71.09046461333334,6.941,0.9,327785.5979513059,4689312.059814022,73326,600000000,19,T,5
1676146927.6878593,45,73327,600000000,GPS1_Frame,42.33700261166667,-71.09046269666666,7.144,0.8,327785.72281024174,4689310.711764112,73327,600000000,19,T,5
1676146928.6889904,46,73328,600000000,GPS1_Frame,42.33699216833333,-71.09046370666667,7.309,0.8,327785.6110935975,4689309.554157021,73328,600000000,19,T,5
1676146929.6910672,47,73329,600000000,GPS1_Frame,42.336981386666665,-71.09046371333334,7.273,0.8,327785.5811123772,4689308.356948539,73329,600000000,19,T,5
1676146930.6905928,48,73330,600000000,GPS1_Frame,42.336970146666665,-71.09046235666666,7.151,0.8,327785.66219743865,4689307.106084471,73330,600000000,19,T,5
1676146931.688815,49,73331,600000000,GPS1_Frame,42.33695867,-71.09045978333333,7.035,0.8,327785.8428709005,4689305.82647626,73331,600000000,19,T,5
1676146932.6898758,50,73332,600000000,GPS1_Frame,42.33695035666667,-71.09045450333333,6.934,0.9,327786.25516700983,4689304.892650336,73332,600000000,19,T,5
1676146933.6890438,51,73333,600000000,GPS1_Frame,42.33694452666667,-71.09044548166666,6.687,1.0,327786.98249744775,4689304.227001747,73333,600000000,19,T,5
1676146934.6890419,52,73334,600000000,GPS1_Frame,42.33694173833333,-71.09043395333333,6.604,0.9,327787.92464150966,4689303.894030467,73334,600000000,19,T,5
1676146935.692047,53,73335,600000000,GPS1_Frame,42.336941125,-71.09041985666667,6.542,1.1,327789.0843136696,4689303.797374956,73335,600000000,19,T,5
1676146936.6920524,54,73336,600000000,GPS1_Frame,42.336941915,-71.090404835,6.646,0.9,327790.3240222216,4689303.854675764,73336,600000000,19,T,5
1676146937.689586,55,73337,600000000,GPS1_Frame,42.336943868333336,-71.09038875166667,6.551,0.9,327791.6543711594,4689304.03900598,73337,600000000,19,T,5
1676146938.6901298,56,73338,600000000,GPS1_Frame,42.336945881666665,-71.09037249,6.551,0.9,327792.9995756928,4689304.229637824,73338,600000000,19,T,5
1676146939.691877,57,73339,600000000,GPS1_Frame,42.33694855666667,-71.09035689666666,6.643,0.8,327794.2915259913,4689304.495096478,73339,600000000,19,T,5
1676146940.6899445,58,73340,600000000,GPS1_Frame,42.336952206666666,-71.09034209,6.758,0.9,327795.52132848976,4689304.8704148345,73340,600000000,19,T,5
1676146941.690185,59,73341,600000000,GPS1_Frame,42.336957255,-71.09032790333333,6.797,0.8,327796.70386943454,4689305.402263276,73341,600000000,19,T,5
1676146942.6933596,60,73342,600000000,GPS1_Frame,42.33696274166667,-71.09031427333333,6.906,1.0,327797.84174599993,4689305.983912829,73342,600000000,19,T,5
1676146943.6900523,61,73343,600000000,GPS1_Frame,42.336968495,-71.09030169166667,7.01,0.9,327798.89398391976,4689306.597296892,73343,600000000,19,T,5
1676146944.6897557,62,73344,600000000,GPS1_Frame,42.33697378,-71.090289,7.194,0.9,327799.95400557783,4689307.158453492,73344,600000000,19,T,5
1676146945.6920636,63,73345,600000000,GPS1_Frame,42.33698068,-71.09027545166667,7.333,0.9,327801.08901131,4689307.897208846,73345,600000000,19,T,5
1676146946.6908932,64,73346,600000000,GPS1_Frame,42.336987431666664,-71.090261265,7.332,0.8,327802.27620062773,4689308.618200396,73346,600000000,19,T,5
1676146947.6916676,65,73347,600000000,GPS1_Frame,42.33699444,-71.090248295,7.354,1.0,327803.36385592574,4689309.370156884,73347,600000000,19,T,5
1676146948.693303,66,73348,600000000,GPS1_Frame,42.337002150000004,-71.09023576333334,7.403,1.0,327804.41731437517,4689310.200915935,73348,600000000,19,T,5
1676146949.6929858,67,73349,600000000,GPS1_Frame,42.337010836666664,-71.09022441833334,7.384,1.0,327805.3756755959,4689311.142529617,73349,600000000,19,T,5
1676146950.6951292,68,73350,600000000,GPS1_Frame,42.33701963666667,-71.09021383666666,7.374,0.9,327806.2714591718,4689312.098274024,73350,600000000,19,T,5
1676146951.6907856,69,73351,600000000,GPS1_Frame,42.33702886,-71.09020415,7.246,0.9,327807.094663988,4689313.102838902,73351,600000000,19,T,5
1676146952.6905823,70,73352,600000000,GPS1_Frame,42.337037646666666,-71.09019654166667,7.249,1.0,327807.7454545816,4689314.063124078,73352,600000000,19,T,5
1676146953.692856,71,73353,600000000,GPS1_Frame,42.337048923333334,-71.09018959,7.261,1.0,327808.3489423219,4689315.301234624,73353,600000000,19,T,5
1676146954.6891475,72,73354,600000000,GPS1_Frame,42.337060155,-71.09018310833333,7.273,1.0,327808.91358641017,4689316.535300076,73354,600000000,19,T,5
1676146955.6922503,73,73355,600000000,GPS1_Frame,42.337071648333335,-71.09018127,7.218,0.9,327809.09640675853,4689317.807824536,73355,600000000,19,T,5
1676146956.6929398,74,73356,600000000,GPS1_Frame,42.33708317833333,-71.09018013833334,7.197,0.9,327809.2211089119,4689319.085851576,73356,600000000,19,T,5
1676146957.6889882,75,73357,600000000,GPS1_Frame,42.33709551333333,-71.090178645,7.204,1.4,327809.3778038891,4689320.452535355,73357,600000000,19,T,5
1676146958.689482,76,73358,600000000,GPS1_Frame,42.33710756166667,-71.09017960333334,7.271,1.1,327809.3317376597,4689321.792351682,73358,600000000,19,T,5
1676146959.6905658,77,73359,600000000,GPS1_Frame,42.33711941833333,-71.09018160333333,7.283,1.0,327809.19933141116,4689323.11299429,73359,600000000,19,T,5
1676146960.6916392,78,73360,600000000,GPS1_Frame,42.337131203333335,-71.090184925,7.248,1.6,327808.9578451412,4689324.428355289,73360,600000000,19,T,5
1676146961.6897063,79,73361,600000000,GPS1_Frame,42.33714183,-71.09019050833334,7.157,2.1,327808.5268717296,4689325.619672163,73361,600000000,19,T,5
1676146962.6878479,80,73362,600000000,GPS1_Frame,42.33715121833333,-71.090197325,7.054,1.6,327807.9909113064,4689326.67597914,73362,600000000,19,T,5
1676146963.6858726,81,73363,600000000,GPS1_Frame,42.33716124,-71.09020586,6.906,1.1,327807.3151162441,4689327.806092724,73363,600000000,19,T,5
1676146964.6860943,82,73364,600000000,GPS1_Frame,42.33716976,-71.09021699,6.912,1.0,327806.4214356812,4689328.774712772,73364,600000000,19,T,5
1676146965.6851268,83,73365,600000000,GPS1_Frame,42.33717856166667,-71.09022907,6.885,0.9,327805.4502592345,4689329.776533703,73365,600000000,19,T,5
1676146966.6817656,84,73366,600000000,GPS1_Frame,42.337187005,-71.09024191666667,6.799,0.9,327804.41494380555,4689330.740117159,73366,600000000,19,T,5
1676146967.6837034,85,73367,600000000,GPS1_Frame,42.33719427166667,-71.09025399833334,6.821,0.9,327803.43944075063,4689331.571491699,73367,600000000,19,T,5
1676146968.685101,86,73368,600000000,GPS1_Frame,42.337201405,-71.09026670333333,6.837,0.9,327802.41222121083,4689332.38932305,73368,600000000,19,T,5
1676146969.680198,87,73369,600000000,GPS1_Frame,42.33720935833333,-71.09027956333334,6.896,0.9,327801.3744706319,4689333.298523213,73369,600000000,19,T,5
1676146970.6814775,88,73370,600000000,GPS1_Frame,42.33721803833333,-71.090291675,6.899,0.9,327800.4003546147,4689334.2868988635,73370,600000000,19,T,5
1676146971.681352,89,73371,600000000,GPS1_Frame,42.337225896666666,-71.09030281833333,6.925,0.9,327799.5037713044,4689335.182073809,73371,600000000,19,T,5
1676146972.6876185,90,73372,600000000,GPS1_Frame,42.33723396333333,-71.09031562333334,6.921,1.0,327798.4708620051,4689336.103747851,73372,600000000,19,T,5
1676146973.6790845,91,73373,600000000,GPS1_Frame,42.337240703333336,-71.09032867,6.916,1.0,327797.41442215093,4689336.878595235,73373,600000000,19,T,5
1676146974.6877375,92,73374,600000000,GPS1_Frame,42.337246093333334,-71.09034329666666,6.946,1.0,327796.2241306406,4689337.5067353565,73374,600000000,19,T,5
1676146975.6873004,93,73375,600000000,GPS1_Frame,42.33725123833333,-71.09035724333333,6.905,1.1,327795.08919172164,4689338.106293165,73375,600000000,19,T,5
1676146976.687898,94,73376,600000000,GPS1_Frame,42.33725639666667,-71.09037245833333,6.799,1.4,327793.8497989399,4689338.709900378,73376,600000000,19,T,5
1676146977.6903772,95,73377,600000000,GPS1_Frame,42.33725929,-71.09038765166666,6.827,1.2,327792.606008508,4689339.061952924,73377,600000000,19,T,5
1676146978.6890547,96,73378,600000000,GPS1_Frame,42.33726283166666,-71.09040395666666,6.872,1.0,327791.27240437444,4689339.488249576,73378,600000000,19,T,5
1676146979.6856034,97,73379,600000000,GPS1_Frame,42.33726636,-71.09042123166667,6.9,0.8,327789.8588514704,4689339.915030428,73379,600000000,19,T,5
1676146980.6870577,98,73380,600000000,GPS1_Frame,42.337268988333335,-71.09043696833334,7.008,0.9,327788.56957602536,4689340.238757861,73380,600000000,19,T,5
1676146981.6870496,99,73381,600000000,GPS1_Frame,42.337270265,-71.09045308833333,7.066,0.9,327787.2450303317,4689340.413169603,73381,600000000,19,T,5
1676146982.6843824,100,73382,600000000,GPS1_Frame,42.33727074666667,-71.09046891,7.033,0.9,327785.9428923726,4689340.498698682,73382,600000000,19,T,5
1676146983.686654,101,73383,600000000,GPS1_Frame,42.33727154,-71.090484625,7.038,1.1,327784.65039286786,4689340.618620177,73383,600000000,19,T,5
